"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		232",천안,2021-01-01,-6.6,-2.1,15:34,-13.9,7:06,11.8
"		232",천안,2021-01-02,-6.2,-0.6,15:07,-12.3,8:03,11.7
"		232",천안,2021-01-03,-5.8,-0.2,14:46,-12.3,7:44,12.1
"		232",천안,2021-01-04,-4.5,1.2,15:52,-12.2,7:22,13.4
"		232",천안,2021-01-05,-4.2,-1.2,0:21,-10.4,23:55,9.2
"		232",천안,2021-01-06,-7,-2.1,14:49,-14,7:40,11.9
"		232",천안,2021-01-07,-13.1,-3.7,0:01,-18,22:29,14.3
"		232",천안,2021-01-08,-14.1,-10.1,15:07,-19.3,8:09,9.2
"		232",천안,2021-01-09,-13.4,-7.8,15:27,-20.5,7:37,12.7
"		232",천안,2021-01-10,-10.1,-3.1,14:52,-18,7:17,14.9
"		232",천안,2021-01-11,-8.1,-2.9,15:12,-13.7,5:46,10.8
"		232",천안,2021-01-12,-3.9,2.4,15:20,-11,8:01,13.4
"		232",천안,2021-01-13,2.1,9.1,14:37,-6.1,7:55,15.2
"		232",천안,2021-01-14,1.1,9.4,15:30,-5.3,7:32,14.7
"		232",천안,2021-01-15,3.6,12.2,14:46,-2.8,1:12,15
"		232",천안,2021-01-16,-2.7,1.9,0:01,-5.5,23:46,7.4
"		232",천안,2021-01-17,-4.7,0.1,15:35,-11,7:58,11.1
"		232",천안,2021-01-18,-3.1,4.4,13:14,-7.7,5:21,12.1
"		232",천안,2021-01-19,-7.2,-0.5,15:11,-13.9,7:45,13.4
"		232",천안,2021-01-20,-3.1,6.9,16:17,-11.7,6:44,18.6
"		232",천안,2021-01-21,3.8,9.1,13:48,-3,0:01,12.1
"		232",천안,2021-01-22,6,8.8,14:13,3.8,3:57,5
"		232",천안,2021-01-23,8.3,12.2,13:26,2.6,4:33,9.6
"		232",천안,2021-01-24,5.9,12.5,15:11,-0.4,7:37,12.9
"		232",천안,2021-01-25,4.9,13,15:26,-0.6,7:16,13.6
"		232",천안,2021-01-26,4.2,7.3,15:06,1.4,1:13,5.9
"		232",천안,2021-01-27,1.9,7.1,14:25,-2,23:34,9.1
"		232",천안,2021-01-28,-3,2.7,10:50,-7.3,23:58,10
"		232",천안,2021-01-29,-7.7,-3.6,14:38,-11,23:43,7.4
"		232",천안,2021-01-30,-1.3,7.6,14:27,-11.7,1:38,19.3
"		232",천안,2021-01-31,1.3,10.9,15:12,-6.9,6:51,17.8
"		232",천안,2021-02-01,5.5,11.5,14:50,0.9,0:26,10.6
"		232",천안,2021-02-02,-4,1,0:01,-6,7:44,7
"		232",천안,2021-02-03,-3.4,3,15:42,-11.7,7:36,14.7
"		232",천안,2021-02-04,-2.3,1.5,2:34,-7,24:00:00,8.5
"		232",천안,2021-02-05,-1.2,7.6,15:44,-8.4,7:00,16
"		232",천안,2021-02-06,4,11.7,14:38,-4.4,3:49,16.1
"		232",천안,2021-02-07,4,8.7,13:02,-1.5,23:51,10.2
"		232",천안,2021-02-08,-2.1,0.8,14:10,-3.9,7:29,4.7
"		232",천안,2021-02-09,-1.6,5.1,16:13,-8.4,6:39,13.5
"		232",천안,2021-02-10,0.2,8.3,14:27,-6.7,5:34,15
"		232",천안,2021-02-11,3.9,11.2,15:31,-1.3,1:09,12.5
"		232",천안,2021-02-12,4.9,15.3,15:30,-2.3,6:43,17.6
"		232",천안,2021-02-13,5.4,16,15:58,-3.5,7:02,19.5
"		232",천안,2021-02-14,7.8,14.1,15:34,1.4,1:57,12.7
"		232",천안,2021-02-15,1.8,7.1,3:12,-3.5,23:46,10.6
"		232",천안,2021-02-16,-4.3,-0.2,12:05,-9,7:33,8.8
"		232",천안,2021-02-17,-7.1,-4.9,0:01,-8.7,7:44,3.8
"		232",천안,2021-02-18,-5.2,-0.8,15:25,-9.3,5:03,8.5
"		232",천안,2021-02-19,1.1,9.4,15:53,-9.8,7:03,19.2
"		232",천안,2021-02-20,7.5,16.2,15:52,-0.7,7:35,16.9
