관리번호,제목,언론사,언론사 구분,사용구분,등록일
31088,"독립기념관, 2021년 1월의 독립운동가 전시회 개최",내외뉴스통신,기타,Y,2021-01-01
31089,[신년사] 박상돈 천안시장,브레이크뉴스,기타,Y,2021-01-01
31090,[2021 신년사]박상돈 천안시장,뉴스프리존,기타,Y,2021-01-01
31091,"[박상돈 천안시장 신년사] ""무신불립(無信不立)""",충청뉴스,기타,Y,2021-01-01
31092,[2021 신년사] 양승조 충청남도 도지사,농축유통신문,기타,Y,2021-01-01
31093,[2021 신년사] 박상돈 천안시장,뉴스티앤티,기타,Y,2021-01-01
31094,[신년사] 박상돈 천안시장 “위기를 넘어 비상하는 천안”,시사뉴스24,기타,Y,2021-01-01
31095,【신년사】박상돈 천안시장,sbn뉴스,기타,Y,2021-01-01
31096,[신년사] 천안시장 박 상 돈,국제뉴스,기타,Y,2021-01-01
31097,"박상돈 천안시장, 신년사",내외뉴스통신,기타,Y,2021-01-01
31098,안익태가 친일파니 애국가 바꾸자  다르게 생각합니다,오마이뉴스언론사 선정,기타,Y,2021-01-02
31099,"장천 김성태 선생, 새해 경기신문 슬로건 '우직하게 일어나소' 작업",경기신문,기타,Y,2021-01-02
31100,"박상돈 천안시장 신년사 ""2021년 우리는 할 수 있습니다""",금강일보,기타,Y,2021-01-02
31101,독립기념관 부패방지경영시스템 구제표준인증 획득,충청일보,지역종합지,Y,2021-01-03
31102,독립운동 인물총서 2권 발간,안동MBC,기타,Y,2021-01-03
31103,"국가보훈처, 2021년 1월의 독립운동가, 기우만·박원영·김익중 선생 선정",시사매거진,기타,Y,2021-01-03
31104,"독립기념관, 기우만·박원영·김익중선생 1월의 독립운동가로 선정",금강일보,기타,Y,2021-01-03
31105,"2021년 천안 최대 화두는 코로나19 극복, 일자리 창출, 문화도시 경쟁력 확보",중도일보,지역종합지,Y,2021-01-03
31106,"독립기념관-국가보훈처, 2021년 1월 독립운동가 기우만·박원영·김익중 선정",뉴스프리존,기타,Y,2021-01-04
31107,[기고] 노수문(광복회 대구지부장)...찬란한 대구 독립운동 역사를 기억하는 ...,영남일보,지역종합지,Y,2021-01-04
31108,목천 IC-국도 21호선 입체화 사업 4월 첫삽,충청투데이,지역종합지,Y,2021-01-04
31109,[신년인터뷰] 양승조 충남지사,충남일보,기타,Y,2021-01-04
31110,"천안시장 신년사/ ""위기를 기회로… 청정 천안 만들 것""",동양일보,기타,Y,2021-01-04
31111,[[김삼웅의 인물열전] 민족의 선각 홍암 나철 평전] 대종교의 '대한독립선언서...,오마이뉴스,기타,Y,2021-01-05
31112,이달의 ‘독립운동가’에 기우만·박원영·김익중 선생 선정,아시아경제,경제지,Y,2021-01-05
31113,"국가보훈처, 1월 이달의 독립운동가로 기우만·박원영·김익중 선생 선정",뉴스프리존,기타,Y,2021-01-05
31114,[충청의 민심은]② 업무수행 평가·지역 현안 여론조사,KBS,방송사,Y,2021-01-05
31115,"김영춘 전 해수부 장관, 광복회 부산지부-부산민주항쟁기념사업회 방문",국제뉴스,기타,Y,2021-01-05
31116,"독립기념관, 직원 성희롱-괴롭힘 진정 조사 결과 언제쯤 ",오마이뉴스,기타,Y,2021-01-06
31117,1월의 독립운동가 기우만·박원영·김익중 선생,동양일보,기타,Y,2021-01-06
31118,1월의 독립운동가 기우만·박원영·김익중 선생,충청일보,지역종합지,Y,2021-01-06
31119,[박동규의 민심레이더] 민주당 차기 '대선 리더쉽'의 향배,뉴스워치,기타,Y,2021-01-06
31120,김영춘 전 장관 광복회 부산지부와 부산민주항쟁기념사업회 방문,아시아뉴스통신,기타,Y,2021-01-06
31121,독립기념관 진정 처리 '하세월',대전일보,지역종합지,Y,2021-01-07
31122,"양승조 지사 ""충남경제 활성화·일자리 창출 집중… 모두 행복한 충남 만들 것...",충청투데이,지역종합지,Y,2021-01-07
31123,혁신도시 완성 위해 공공기관 유치 행정력 집중,충청타임즈,기타,Y,2021-01-07
31124,[리포트]충남 '혁신도시 완성' 최우선 과제,대전MBC,기타,Y,2021-01-07
31125,"한국독립운동사연구소 연구원들 ""소장 비위 감사청구 묵살됐다""",연합뉴스,기타,Y,2021-01-08
31126,박상돈 천안시장[2021년 신년사],신소재경제신문,기타,Y,2021-01-08
31127,"독립기념관 연구원들 ""소장 비위 감사청구 묵살됐다""",TJB 대전방송,기타,Y,2021-01-09
31128,임시정부 수립 주역 윤현진 선생 유품 '귀향',연합뉴스,기타,Y,2021-01-11
31129,"충남도, 정부예산 8조 원 확보 총력",대전일보,지역종합지,Y,2021-01-11
31130,‘임시정부 수립 주역’ 윤현진 선생 유품 고향으로 돌아왔다,뉴스경남,기타,Y,2021-01-11
31131,황두연과 국채보상운동 함께한 황학성 선생 정부서훈 추진 나서,충청일보,지역종합지,Y,2021-01-11
31132,[사설] 충남 핵심 사업 내년 예산에 승부 걸길,대전일보,지역종합지,Y,2021-01-11
31133,임시정부 초대 재무차장 '윤현진 선생' 유품 21점 '귀향',국제뉴스,기타,Y,2021-01-11
31134,"제주 보훈청, 2021년도 ‘제주 출신 이달의 독립유공자’ 선정",더팩트,기타,Y,2021-01-12
31135,"양산시립박물관, 임시정부 수립 주역 윤현진 선생 유품 귀향",폴리뉴스,기타,Y,2021-01-12
31136,"충남도, '전기차 공용충전소' 인프라 확대",뉴스티앤티,기타,Y,2021-01-12
31137,임시정부 수립 윤현진 선생 유품 '귀향',경남매일신문,기타,Y,2021-01-12
31138,"[리포트]서해 KTX, 충청 철도 건설.. 이달에 윤곽 나온다",TJB 대전방송,기타,Y,2021-01-12
31139,"천안시, 위기를 넘어 새로운 도약 해 ‘힘찬 출발’",브릿지경제,기타,Y,2021-01-12
31140,[[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] 왕청현 일대 토지 소유,오마이뉴스,기타,Y,2021-01-12
31141,국채보상운동 함께한 황두연과 황학성 선생 정부서훈 추진 나선다,환경일보,기타,Y,2021-01-12
31142,"천안시, '천안12경' 현 실정에 맞게 재선정 추진",중도일보,지역종합지,Y,2021-01-12
31143,'임시정부 수립 주역' 윤현진 선생 유품 '귀향',경남도민신문,기타,Y,2021-01-12
31144,김해지역 독립운동 인물·역사 한곳서 한눈에,경남도민일보,지역종합지,Y,2021-01-13
31145,"김해시, 김해3.1독립운동 기념조형물 설치",시민일보,기타,Y,2021-01-13
31146,"[신년 인터뷰] ""도정 운영 최우선…도민 동의한다면 대권 도전""",대전일보,지역종합지,Y,2021-01-13
31147,임시정부 수립 주역' 윤현진 선생 유품 '귀향',환경일보,기타,Y,2021-01-13
31148,"경남 양산지역 공공시설 잇따라 건립 계획…시, 공공시설과 신설",경상일보,지역종합지,Y,2021-01-13
31149,"[박동규의 민심레이더] 남북, '봄날'로 돌아갈 수 있을까",뉴스워치,기타,Y,2021-01-13
31150,"국채보상운동 함께한 황두연, 황학성 선생 '정부서훈 추진'",경기도민일보,기타,Y,2021-01-13
31151,[기고] 묵묵히 흔들림 없이 우보만리!,한국일보,중앙지,Y,2021-01-14
31152,"혁명가, 사회주의 소련에서 '반혁명' 혐의로 처형되다",오마이뉴스언론사 선정,기타,Y,2021-01-16
31153,"박상돈 천안시장 ""혁신적 스마트 교통도시 기반구축에 최선""",충청투데이,지역종합지,Y,2021-01-16
31154,'부부 나이 합치면 198살'…결혼 생활만 77년째 우병근·김순옥 씨 부부,매일신문언론사 선정,기타,Y,2021-01-17
31155,"김포시독립운동기념관, 2021 전문적인 현충시설로 거듭난다",머니S,기타,Y,2021-01-18
31156,'달력도 훌륭한 교재'…대구 신기중과 독립운동정신계승사업회가 만든 달력들,매일신문,지역종합지,Y,2021-01-18
31157,[[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] 형제들과 군무도독부 ...,오마이뉴스,기타,Y,2021-01-18
31158,상하이 임정 요인 집단거주지 인천항에 복원되나,주간조선언론사 선정,기타,Y,2021-01-18
31159,남양주 근처 역사 유적지를 둘러보며 알게 된 사실들,오마이뉴스,기타,Y,2021-01-18
31160,[[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] 연합부대 대한북로독군...,오마이뉴스,기타,Y,2021-01-19
31161,코로나19 여파 독립기념관 입장객 반토막,대전일보,지역종합지,Y,2021-01-20
31162,[인사] 경상북도,BBS NEWS,기타,Y,2021-01-20
31163,권칠승 중기장관 후보자…기업·지방의회부터 '잔뼈',연합뉴스,기타,Y,2021-01-20
31164,[박동규의 민심레이더] 이젠 '경제 대사면'을 생각할 때다,뉴스워치,기타,Y,2021-01-20
31165,中企·자영업자들 일상 회복에 집중,기호일보,기타,Y,2021-01-20
31166,[[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] 국치 13년만에 최대규...,오마이뉴스,기타,Y,2021-01-21
31167,"보험연수원, 제18대 민병두 원장 취임",조세일보,기타,Y,2021-01-21
31168,"민병두 보험연수원장 취임 ""경쟁력·위상 강화 기대""",프라임경제,기타,Y,2021-01-21
31169,"황기철 보훈처장 창원 방문…""보훈선양 분위기 확산시킬 것""",노컷뉴스,기타,Y,2021-01-22
31170,"백군기 용인시장, 올해 시정 운영 발표..""미래변화를 선도하는 친환경 경제자...",뉴스프리존,기타,Y,2021-01-22
31171,한국과 인연 있던 행크 애런…1982년 내한해 친선경기 가져,엠스플뉴스,기타,Y,2021-01-23
31172,이 모두 빠지고 혀 닳아 없어져 고종은 정말 독살됐나,오마이뉴스언론사 선정,기타,Y,2021-01-24
31173,판문점 찾고서 성금 냈던 ‘홈런왕’ “스포츠는 최고의 긴장 해소제” [박동...,엠스플뉴스,기타,Y,2021-01-24
31174,"'반크 온라인 인턴' 美하와이대 학생들, 한국 문화·역사 홍보",연합뉴스,기타,Y,2021-01-24
31175,신임 12대 한시준 독립기념관 관장 취임,충청일보,지역종합지,Y,2021-01-25
31176,"[지자체의 SR] 백군기 용인시장 ""친환경 경제자족도시 실현 한발 더 나아갈 것...",SR타임스,기타,Y,2021-01-25
31177,[단독]독립기념관에 일제 맞서 싸운 韓中 역사관 만든다,동아일보언론사 선정,기타,Y,2021-01-26
31178,"독립기념관 새 관장, 묵은 숙제 풀까 ",대전일보,지역종합지,Y,2021-01-26
31179,"[신년 인터뷰] 박상돈 천안시장 “백신 보급, 모두가 일상으로 돌아가길 간절...",뉴데일리,기타,Y,2021-01-26
31180,"천안시, 3500명 노인일자리 창출에 '125억 원 투입'",충청뉴스,기타,Y,2021-01-26
31181,"천안시, 3500명 노인일자리 창출에 125억 원 투입",국제뉴스,기타,Y,2021-01-26
31182,"천안시, 3500명 노인일자리 창출에 125억 원 투입",금강일보,기타,Y,2021-01-26
31183,"천안시, 3500명 노인일자리 창출에 125억 원 투입",매일일보,기타,Y,2021-01-26
