date,attendences,avg_temp,max_temp,min_temp,precipitation,max_hourly_rain,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,press_count,press_titles
2021-01-01,2373,-6.6,-2.1,-13.9,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0,"독립기념관, 2021년 1월의 독립운동가 전시회 개최 | [신년사] 박상돈 천안시장 | [2021 신년사]박상돈 천안시장 | [박상돈 천안시장 신년사] ""무신불립(無信不立)"" | [2021 신년사] 양승조 충청남도 도지사 | [2021 신년사] 박상돈 천안시장 | [신년사] 박상돈 천안시장 “위기를 넘어 비상하는 천안” | 【신년사】박상돈 천안시장 | [신년사] 천안시장 박 상 돈 | 박상돈 천안시장, 신년사"
2021-01-02,3411,-6.2,-0.6,-12.3,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,"안익태가 친일파니 애국가 바꾸자  다르게 생각합니다 | 장천 김성태 선생, 새해 경기신문 슬로건 '우직하게 일어나소' 작업 | 박상돈 천안시장 신년사 ""2021년 우리는 할 수 있습니다"""
2021-01-03,2840,-5.8,-0.2,-12.3,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.0,"독립기념관 부패방지경영시스템 구제표준인증 획득 | 독립운동 인물총서 2권 발간 | 국가보훈처, 2021년 1월의 독립운동가, 기우만·박원영·김익중 선생 선정 | 독립기념관, 기우만·박원영·김익중선생 1월의 독립운동가로 선정 | 2021년 천안 최대 화두는 코로나19 극복, 일자리 창출, 문화도시 경쟁력 확보"
2021-01-04,386,-4.5,1.2,-12.2,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,"독립기념관-국가보훈처, 2021년 1월 독립운동가 기우만·박원영·김익중 선정 | [기고] 노수문(광복회 대구지부장)...찬란한 대구 독립운동 역사를 기억하는 ... | 목천 IC-국도 21호선 입체화 사업 4월 첫삽 | [신년인터뷰] 양승조 충남지사 | 천안시장 신년사/ ""위기를 기회로… 청정 천안 만들 것"""
2021-01-05,1184,-4.2,-1.2,-10.4,0.2,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,"[[김삼웅의 인물열전] 민족의 선각 홍암 나철 평전] 대종교의 '대한독립선언서... | 이달의 ‘독립운동가’에 기우만·박원영·김익중 선생 선정 | 국가보훈처, 1월 이달의 독립운동가로 기우만·박원영·김익중 선생 선정 | [충청의 민심은]② 업무수행 평가·지역 현안 여론조사 | 김영춘 전 해수부 장관, 광복회 부산지부-부산민주항쟁기념사업회 방문"
2021-01-06,1074,-7.0,-2.1,-14.0,1.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,"독립기념관, 직원 성희롱-괴롭힘 진정 조사 결과 언제쯤  | 1월의 독립운동가 기우만·박원영·김익중 선생 | 1월의 독립운동가 기우만·박원영·김익중 선생 | [박동규의 민심레이더] 민주당 차기 '대선 리더쉽'의 향배 | 김영춘 전 장관 광복회 부산지부와 부산민주항쟁기념사업회 방문"
2021-01-07,1950,-13.1,-3.7,-18.0,0.3,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,"독립기념관 진정 처리 '하세월' | 양승조 지사 ""충남경제 활성화·일자리 창출 집중… 모두 행복한 충남 만들 것... | 혁신도시 완성 위해 공공기관 유치 행정력 집중 | [리포트]충남 '혁신도시 완성' 최우선 과제"
2021-01-08,455,-14.1,-10.1,-19.3,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,"한국독립운동사연구소 연구원들 ""소장 비위 감사청구 묵살됐다"" | 박상돈 천안시장[2021년 신년사]"
2021-01-09,1357,-13.4,-7.8,-20.5,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,"독립기념관 연구원들 ""소장 비위 감사청구 묵살됐다"""
2021-01-10,2083,-10.1,-3.1,-18.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,
2021-01-11,330,-8.1,-2.9,-13.7,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,"임시정부 수립 주역 윤현진 선생 유품 '귀향' | 충남도, 정부예산 8조 원 확보 총력 | ‘임시정부 수립 주역’ 윤현진 선생 유품 고향으로 돌아왔다 | 황두연과 국채보상운동 함께한 황학성 선생 정부서훈 추진 나서 | [사설] 충남 핵심 사업 내년 예산에 승부 걸길 | 임시정부 초대 재무차장 '윤현진 선생' 유품 21점 '귀향'"
2021-01-12,934,-3.9,2.4,-11.0,0.1,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0,"제주 보훈청, 2021년도 ‘제주 출신 이달의 독립유공자’ 선정 | 양산시립박물관, 임시정부 수립 주역 윤현진 선생 유품 귀향 | 충남도, '전기차 공용충전소' 인프라 확대 | 임시정부 수립 윤현진 선생 유품 '귀향' | [리포트]서해 KTX, 충청 철도 건설.. 이달에 윤곽 나온다 | 천안시, 위기를 넘어 새로운 도약 해 ‘힘찬 출발’ | [[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] 왕청현 일대 토지 소유 | 국채보상운동 함께한 황두연과 황학성 선생 정부서훈 추진 나선다 | 천안시, '천안12경' 현 실정에 맞게 재선정 추진 | '임시정부 수립 주역' 윤현진 선생 유품 '귀향'"
2021-01-13,1313,2.1,9.1,-6.1,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,"김해지역 독립운동 인물·역사 한곳서 한눈에 | 김해시, 김해3.1독립운동 기념조형물 설치 | [신년 인터뷰] ""도정 운영 최우선…도민 동의한다면 대권 도전"" | 임시정부 수립 주역' 윤현진 선생 유품 '귀향' | 경남 양산지역 공공시설 잇따라 건립 계획…시, 공공시설과 신설 | [박동규의 민심레이더] 남북, '봄날'로 돌아갈 수 있을까 | 국채보상운동 함께한 황두연, 황학성 선생 '정부서훈 추진'"
2021-01-14,1332,1.1,9.4,-5.3,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,[기고] 묵묵히 흔들림 없이 우보만리!
2021-01-15,936,3.6,12.2,-2.8,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,
2021-01-16,3348,-2.7,1.9,-5.5,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,"혁명가, 사회주의 소련에서 '반혁명' 혐의로 처형되다 | 박상돈 천안시장 ""혁신적 스마트 교통도시 기반구축에 최선"""
2021-01-17,3778,-4.7,0.1,-11.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,'부부 나이 합치면 198살'…결혼 생활만 77년째 우병근·김순옥 씨 부부
2021-01-18,722,-3.1,4.4,-7.7,1.2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,"김포시독립운동기념관, 2021 전문적인 현충시설로 거듭난다 | '달력도 훌륭한 교재'…대구 신기중과 독립운동정신계승사업회가 만든 달력들 | [[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] 형제들과 군무도독부 ... | 상하이 임정 요인 집단거주지 인천항에 복원되나 | 남양주 근처 역사 유적지를 둘러보며 알게 된 사실들"
2021-01-19,439,-7.2,-0.5,-13.9,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,[[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] 연합부대 대한북로독군...
2021-01-20,560,-3.1,6.9,-11.7,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,코로나19 여파 독립기념관 입장객 반토막 | [인사] 경상북도 | 권칠승 중기장관 후보자…기업·지방의회부터 '잔뼈' | [박동규의 민심레이더] 이젠 '경제 대사면'을 생각할 때다 | 中企·자영업자들 일상 회복에 집중
2021-01-21,444,3.8,9.1,-3.0,7.9,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,"[[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] 국치 13년만에 최대규... | 보험연수원, 제18대 민병두 원장 취임 | 민병두 보험연수원장 취임 ""경쟁력·위상 강화 기대"""
2021-01-22,505,6.0,8.8,3.8,1.4,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,"황기철 보훈처장 창원 방문…""보훈선양 분위기 확산시킬 것"" | 백군기 용인시장, 올해 시정 운영 발표..""미래변화를 선도하는 친환경 경제자..."
2021-01-23,1901,8.3,12.2,2.6,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,한국과 인연 있던 행크 애런…1982년 내한해 친선경기 가져
2021-01-24,2838,5.9,12.5,-0.4,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0,"이 모두 빠지고 혀 닳아 없어져 고종은 정말 독살됐나 | 판문점 찾고서 성금 냈던 ‘홈런왕’ “스포츠는 최고의 긴장 해소제” [박동... | '반크 온라인 인턴' 美하와이대 학생들, 한국 문화·역사 홍보"
2021-01-25,562,4.9,13.0,-0.6,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,"신임 12대 한시준 독립기념관 관장 취임 | [지자체의 SR] 백군기 용인시장 ""친환경 경제자족도시 실현 한발 더 나아갈 것..."
2021-01-26,424,4.2,7.3,1.4,2.9,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,"[단독]독립기념관에 일제 맞서 싸운 韓中 역사관 만든다 | 독립기념관 새 관장, 묵은 숙제 풀까  | [신년 인터뷰] 박상돈 천안시장 “백신 보급, 모두가 일상으로 돌아가길 간절... | 천안시, 3500명 노인일자리 창출에 '125억 원 투입' | 천안시, 3500명 노인일자리 창출에 125억 원 투입 | 천안시, 3500명 노인일자리 창출에 125억 원 투입 | 천안시, 3500명 노인일자리 창출에 125억 원 투입"
2021-01-27,1034,1.9,7.1,-2.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,"100년 전 독립신문 활자 ‘독립기념관체’ 무료로 쓰세요 | 독립기념관 전용 서체 '독립기념관체' 무료 배포 | [[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] 하늘도 도운 봉오동대... | 한시준 독립기념관장 | 계룡시, 상반기 지방재정 신속집행 속도 | [박동규의 민심레이더] 대선 주자들의 '정치 공학'과 '방정식' | 계룡시, 대규모 투자사업 추진상황 점검회의"
2021-01-28,922,-3.0,2.7,-7.3,2.4,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0,"독립기념관 전용 서체 ‘독립기념관체’ 무료 배포 | 독립기념관, 독립정신 담은 '독립기념관체' 무료 배포 | '독립기념관체' 무료 배포…한글 2780자 영문 94자 등 | 독립기념관 전용 서체 '독립기념관체' 무료 배포 | <현안 인터뷰-황기철>“독립·호국·민주, 어느 한쪽으로도 치우치지 않는 보... | 독립기념관, 전용 서체 무료 배포 | 창원시, 시민체감형 복지서비스 제공기반 구축 | 창원시, 시민체감형 복지서비스 제공기반 구축 | 백성들 억울함 풀어준 암행어사 박문수 잠든 천안"
