date,press_emb_0,press_emb_1,press_emb_2,press_emb_3,press_emb_4,press_emb_5,press_emb_6,press_emb_7,press_emb_8,press_emb_9,press_emb_10,press_emb_11,press_emb_12,press_emb_13,press_emb_14,press_emb_15,press_emb_16,press_emb_17,press_emb_18,press_emb_19,press_emb_20,press_emb_21,press_emb_22,press_emb_23,press_emb_24,press_emb_25,press_emb_26,press_emb_27,press_emb_28,press_emb_29,press_emb_30,press_emb_31
2021-01-01,-0.21848768,0.41944262,-0.35381788,-0.521632,0.19098908,0.24623983,-0.18515177,-0.10180619,0.12733613,-0.061907202,-0.19994064,-0.29118672,-0.34173223,-0.10787996,-0.128797,0.076527774,0.15871233,-0.5413628,-0.35778856,-0.12168521,0.027682044,-0.07032142,-0.4697038,0.03953266,-0.06837879,0.061015807,0.2536798,0.3198008,-0.22783905,-0.2594108,-0.27152205,0.46319225
2021-01-02,-0.12514287,0.19632885,-0.20518234,-0.12599641,0.14656794,0.11911632,-0.08548692,-0.07875155,-0.079691395,0.01913109,-0.12051849,-0.18392634,-0.101172425,-0.12253088,-0.120014794,0.19146186,0.15995443,-0.30289257,-0.22101657,-0.062484156,0.03317595,0.02524912,-0.14253587,-0.15946248,-0.1768521,0.017119572,0.17978036,0.2536664,-0.030883752,-0.10878416,-0.06583656,0.21872303
2021-01-03,-0.648558,0.68472266,-0.39777726,-0.40437597,0.35563475,0.17991666,-0.044537283,-0.3668343,0.10522242,0.11606062,-0.13066632,-0.5618089,-0.5604681,-0.018562421,-0.31689933,0.24956197,0.5731746,-0.90560794,-0.51892865,-0.24392663,-0.25111383,-0.20720764,-0.5066235,-0.06578767,0.13048144,-0.13518053,0.5315393,0.57107526,-0.3757891,-0.22195342,-0.36585987,0.82730734
2021-01-04,-0.40155053,0.4148358,-0.45519978,-0.24585211,0.16431972,0.2195447,-0.08087161,-0.26421285,-0.068516776,0.0025588796,-0.12641037,-0.5237101,-0.4307899,0.026160747,-0.19274226,0.23301527,0.4730097,-0.7077594,-0.35255992,-0.24879323,-0.16630562,0.014760716,-0.4623254,-0.018425196,0.13548277,-0.16703847,0.44519088,0.50632346,-0.41531017,-0.066386096,-0.25788763,0.5954226
2021-01-05,-0.06430316,0.2763125,-0.05608755,-0.87413985,-0.027117725,-0.146169,-0.07879357,0.06441656,0.18794633,-0.052424192,0.37465793,-0.21995693,-0.07518046,0.77846843,0.058480524,-0.13218586,-0.089933425,-0.7724047,0.065062284,-0.469714,-0.8287503,-0.4354443,-0.3874488,0.015814468,0.54283166,-0.29131845,-0.040455997,0.0945575,-0.6459816,0.26044604,-0.5343509,0.2054261
2021-01-06,-0.39042646,0.56748617,0.30246186,0.06399215,0.43293482,0.12822077,-0.08588904,-0.34724244,-0.1932652,0.7921707,0.1388965,-0.074442774,-0.4784996,-0.42165023,-1.0091726,0.532936,0.13097641,-0.3480955,-0.8127271,0.100719124,-0.13268267,-0.29884213,-0.16644597,-0.49715385,-0.34191966,0.050959297,0.47724167,0.009914171,0.099620156,-0.15181881,0.083087265,0.19169453
2021-01-07,-0.53632045,0.9298871,-0.10991189,-1.1526835,0.61785,-0.1168533,-0.60961235,0.25584015,0.33220446,0.080310255,0.055916026,-0.35059896,-0.4803807,0.33238786,-0.02046866,0.03128676,0.09465261,-0.6758222,-0.55817324,-0.33397537,-0.42898634,-0.16942728,-0.5285054,-0.052549914,-0.03593509,-0.32420012,0.1451881,0.4618094,-0.44778508,-0.15344083,-0.9603089,0.44777063
2021-01-08,0.17214882,0.21102855,0.04348789,-0.5553944,0.032588694,-0.03609884,-0.19502698,0.29138213,0.03180565,0.035509884,0.17788324,0.0140744075,0.029203013,0.22464965,0.12931919,-0.11382003,-0.34099463,-0.19273439,-0.08577797,-0.0825149,-0.17212604,-0.15283261,-0.19124976,-0.12174748,0.02731748,-0.022188015,-0.1756496,-0.13807768,-0.28191897,0.04950569,-0.25894612,-0.18028405
2021-01-09,-0.18960479,0.434033,-0.04422828,-1.0647988,0.3115127,-0.16928758,-0.49477255,0.3042109,0.23980911,-0.021257192,0.092289224,-0.08890454,-0.08145324,0.67828715,0.014122866,-0.03679447,-0.091759026,-0.59753406,-0.1980658,-0.4504479,-0.6077469,-0.15949921,-0.32776454,-0.11969396,0.021184191,-0.282378,0.020713624,0.32663643,-0.3915318,0.038358055,-0.7446909,0.166105
2021-01-10,0.32329813,0.18518937,0.09194623,0.21085927,0.22674075,-0.1329654,-0.0819419,0.2855282,0.15947042,-0.065009795,0.013805963,0.40593377,0.27773082,-0.1913135,0.16021204,0.06197296,-0.34085035,0.067064136,-0.12025517,0.07962145,-0.47970623,-0.26152456,0.047026195,0.20954758,-0.7537138,0.07181983,-0.08278829,-0.056641027,0.031749316,0.18130374,0.038331553,-0.16299617
