date,attendences,avg_temp,max_temp,min_temp,precipitation,max_hourly_rain,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,press_count,press_titles,press_emb_0,press_emb_1,press_emb_2,press_emb_3,press_emb_4,press_emb_5,press_emb_6,press_emb_7,press_emb_8,press_emb_9,press_emb_10,press_emb_11,press_emb_12,press_emb_13,press_emb_14,press_emb_15,press_emb_16,press_emb_17,press_emb_18,press_emb_19,press_emb_20,press_emb_21,press_emb_22,press_emb_23,press_emb_24,press_emb_25,press_emb_26,press_emb_27,press_emb_28,press_emb_29,press_emb_30,press_emb_31
2021-01-01,2373,-6.6,-2.1,-13.9,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0,"독립기념관, 2021년 1월의 독립운동가 전시회 개최 | [신년사] 박상돈 천안시장 | [2021 신년사]박상돈 천안시장 | [박상돈 천안시장 신년사] ""무신불립(無信不立)"" | [2021 신년사] 양승조 충청남도 도지사 | [2021 신년사] 박상돈 천안시장 | [신년사] 박상돈 천안시장 “위기를 넘어 비상하는 천안” | 【신년사】박상돈 천안시장 | [신년사] 천안시장 박 상 돈 | 박상돈 천안시장, 신년사",-0.07523194,0.0020105802,0.006869248,-0.034865312,0.032117907,-0.101974495,-0.14013018,0.013012046,-0.0026966855,0.020375915,-0.0015252727,-0.037655585,0.09061493,-0.068883106,-0.15228553,-0.04128126,-0.07459612,0.10891175,0.018704113,-0.019382985,-0.021088406,0.076158024,0.09171525,-0.04979088,-0.16221565,0.05942885,-0.05840971,-0.03412406,0.04429829,0.117292315,0.0334054,-0.13650262
2021-01-02,3411,-6.2,-0.6,-12.3,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,"안익태가 친일파니 애국가 바꾸자  다르게 생각합니다 | 장천 김성태 선생, 새해 경기신문 슬로건 '우직하게 일어나소' 작업 | 박상돈 천안시장 신년사 ""2021년 우리는 할 수 있습니다""",-0.078337595,0.035761762,-0.023303986,-0.039429,0.04227429,-0.1087362,-0.13831542,0.0050642584,0.009856616,0.0435873,0.0037348066,-0.044786975,0.09733491,-0.04507689,-0.12468654,-0.050654538,-0.054464206,0.082300186,0.0067847,-0.013151715,-0.033068404,0.067597136,0.08402488,-0.028160676,-0.15469506,0.04135044,-0.04231118,-0.033597324,0.05771834,0.102337,0.039877508,-0.09711089
2021-01-03,2840,-5.8,-0.2,-12.3,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.0,"독립기념관 부패방지경영시스템 구제표준인증 획득 | 독립운동 인물총서 2권 발간 | 국가보훈처, 2021년 1월의 독립운동가, 기우만·박원영·김익중 선생 선정 | 독립기념관, 기우만·박원영·김익중선생 1월의 독립운동가로 선정 | 2021년 천안 최대 화두는 코로나19 극복, 일자리 창출, 문화도시 경쟁력 확보",-0.08140917,0.028935716,-0.00870159,-0.0425955,0.030744543,-0.10794392,-0.14462551,-0.0014776271,0.010233966,0.038521666,0.020987708,-0.061230354,0.098029375,-0.05308915,-0.15148714,-0.05488455,-0.0596118,0.10597521,0.030275162,-0.02318872,-0.01796069,0.07466297,0.07301503,-0.015974198,-0.17366964,0.031031415,-0.055233944,-0.026395362,0.056989986,0.10545095,0.049415253,-0.111224905
2021-01-04,386,-4.5,1.2,-12.2,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,"독립기념관-국가보훈처, 2021년 1월 독립운동가 기우만·박원영·김익중 선정 | [기고] 노수문(광복회 대구지부장)...찬란한 대구 독립운동 역사를 기억하는 ... | 목천 IC-국도 21호선 입체화 사업 4월 첫삽 | [신년인터뷰] 양승조 충남지사 | 천안시장 신년사/ ""위기를 기회로… 청정 천안 만들 것""",-0.08549674,0.0350103,-0.0060569905,-0.059537403,0.040648077,-0.09926786,-0.14011568,0.007894691,0.0016437881,0.047706865,0.03409155,-0.058504146,0.11129898,-0.043746732,-0.13603418,-0.049118035,-0.058737766,0.117497325,0.02608883,-0.03397903,-0.042516716,0.09229618,0.08230523,-0.013405226,-0.17490637,0.041762635,-0.055366103,-0.026044106,0.052559115,0.11629452,0.053501263,-0.12520596
2021-01-05,1184,-4.2,-1.2,-10.4,0.2,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,"[[김삼웅의 인물열전] 민족의 선각 홍암 나철 평전] 대종교의 '대한독립선언서... | 이달의 ‘독립운동가’에 기우만·박원영·김익중 선생 선정 | 국가보훈처, 1월 이달의 독립운동가로 기우만·박원영·김익중 선생 선정 | [충청의 민심은]② 업무수행 평가·지역 현안 여론조사 | 김영춘 전 해수부 장관, 광복회 부산지부-부산민주항쟁기념사업회 방문",-0.08358456,0.034734942,-0.0073374743,-0.07621748,0.06110049,-0.12533838,-0.14408924,-0.0028754957,0.00839988,0.049517192,0.034835927,-0.046818167,0.11327038,-0.05162398,-0.15124212,-0.063911535,-0.062435035,0.150165,0.044807952,-0.05112853,-0.036390863,0.09319805,0.061422855,0.018260852,-0.1976754,0.03124591,-0.07808231,-0.014820658,0.06119989,0.11025019,0.05023563,-0.14562002
2021-01-06,1074,-7.0,-2.1,-14.0,1.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,"독립기념관, 직원 성희롱-괴롭힘 진정 조사 결과 언제쯤  | 1월의 독립운동가 기우만·박원영·김익중 선생 | 1월의 독립운동가 기우만·박원영·김익중 선생 | [박동규의 민심레이더] 민주당 차기 '대선 리더쉽'의 향배 | 김영춘 전 장관 광복회 부산지부와 부산민주항쟁기념사업회 방문",-0.063645884,0.0027805455,-0.014415787,-0.053625196,0.03301064,-0.1048393,-0.1364156,-0.0019777305,0.006237397,0.016346253,0.02443992,-0.042014517,0.10711668,-0.06683232,-0.15402481,-0.056489825,-0.060691,0.14948706,0.04417744,-0.035030186,-0.008663751,0.089981616,0.06074263,-0.011076875,-0.18895875,0.01528766,-0.069871694,-0.0056481026,0.09324485,0.08031599,0.04687344,-0.10822494
2021-01-07,1950,-13.1,-3.7,-18.0,0.3,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,"독립기념관 진정 처리 '하세월' | 양승조 지사 ""충남경제 활성화·일자리 창출 집중… 모두 행복한 충남 만들 것... | 혁신도시 완성 위해 공공기관 유치 행정력 집중 | [리포트]충남 '혁신도시 완성' 최우선 과제",-0.06935543,0.0488478,-0.0009443988,-0.07435506,0.060915805,-0.13129829,-0.13759172,0.010574779,-0.008298049,0.056065828,0.013052957,-0.051849313,0.09783414,-0.05532298,-0.12842481,-0.042143703,-0.033747345,0.12509042,0.05010284,-0.017925708,-0.028314687,0.09436549,0.064972945,-0.007318735,-0.18514222,0.048585065,-0.057891395,-0.052294694,0.08616027,0.09283499,0.05419649,-0.14114031
2021-01-08,455,-14.1,-10.1,-19.3,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,"한국독립운동사연구소 연구원들 ""소장 비위 감사청구 묵살됐다"" | 박상돈 천안시장[2021년 신년사]",-0.06586433,0.011151917,-0.0034011118,-0.033657186,0.051276483,-0.0969363,-0.14509131,0.0038210228,-0.016442353,0.039470874,0.016107956,-0.042708,0.095222354,-0.04035622,-0.12637219,-0.048295308,-0.07557738,0.10101238,0.016903576,-0.0168888,-0.03636823,0.09668881,0.09182823,-0.035183273,-0.16672486,0.06261788,-0.048062477,-0.0584038,0.058404133,0.09706838,0.032125086,-0.12173306
2021-01-09,1357,-13.4,-7.8,-20.5,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,"독립기념관 연구원들 ""소장 비위 감사청구 묵살됐다""",-0.08429873,0.048448317,-0.02456421,-0.08075139,0.06655665,-0.1539441,-0.13618422,0.0045396984,-0.015689863,0.049347125,0.028096713,-0.05909948,0.12928738,-0.050854318,-0.14567365,-0.07039063,-0.06449278,0.16584706,0.0140752345,-0.058011413,-0.035163693,0.08331332,0.089505576,0.026149943,-0.17730105,0.046568394,-0.0622739,-0.025605133,0.06405935,0.12933604,0.052720197,-0.13819999
2021-01-10,2083,-10.1,-3.1,-18.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.059113808,0.049278006,-0.04165333,-0.00235668,0.036502462,-0.11307298,-0.05586378,0.022829719,-0.022006718,-0.014589231,-0.033636693,-0.025775114,0.12476952,-0.15255022,-0.17033929,-0.018486217,-0.013484448,0.11502063,-0.036652446,0.010184698,0.036428593,0.0922533,0.0837511,-0.03937439,-0.13368009,0.08887066,-0.11443314,-0.0138579905,0.050140195,0.10886709,0.04193622,-0.095955186
