Model,MAE,RMSE,R2,MAPE,NRMSE
LinearRegression,1767.1436529870177,2875.9448547077145,0.39279471652403697,77.73207591048313,0.7861424308306356
DecisionTree,1458.4368508198145,2505.328633919352,0.5392091599091868,57.15641479792129,0.6848341125439007
RandomForest,1282.528687932961,2145.3506742025634,0.6621133636999639,52.670667044217744,0.5864337736660644
KNN,1643.9386666666664,3238.003016538297,0.23028680580131955,58.3382196453926,0.8851113950573481
SVR,1971.2971360104077,3715.8931561325853,-0.013679980220511645,86.54826765648083,1.0157431473997718
XGBoost,1160.9722373046875,2057.670373054419,0.6891677714211982,44.16289884759298,0.5624662747873108
MLP_AE+Base (Window),994.6555623779296,1946.000260431111,0.721990125773653,32.73655880656181,0.5319411367113444
Ensemble_LinearRegression_+_MLP,1238.115835839107,2133.8203173435195,0.6657356003683873,48.65031202408562,0.5832819389726155
Ensemble_DecisionTree_+_MLP,1058.7713289112137,1951.3690581758456,0.720454013219737,39.926885499050705,0.533408702997525
Ensemble_RandomForest_+_MLP,1041.5286713078551,1894.1442855763034,0.7366092315386712,38.92046270156301,0.5177662536085896
Ensemble_KNN_+_MLP,1211.1648955281576,2288.6737576588844,0.6154593880927748,41.899550299747226,0.6256112832897478
Ensemble_SVR_+_MLP,1280.0556136616635,2477.4713848966567,0.549399439901989,54.10066831928423,0.6772193053868345
Ensemble_XGBoost_+_MLP,982.5072274169922,1822.2664676176576,0.7562199283617783,35.23607191893699,0.4981183794706988
Ensemble_Stacking_Ridge,999.9404913474312,1762.7363073617616,0.7718874744534414,37.325365683500586,0.4818457500373839
